fire_data2,Serial,FireCategory,FireYear,Area,DistrictName,UnitName,FullFireNumber,FireName,Size_class,EstTotalAcres,Protected_Acres,HumanOrLightning,CauseBy,GeneralCause,SpecificCause,Cause_Comments,Lat_DD,Long_DD,LatLongDD,FO_LandOwnType,Twn,Rng,Sec,Subdiv,LandmarkLocation,County,RegUseZone,RegUseRestriction,Industrial_Restriction,Ign_DateTime,ReportDateTime,Discover_DateTime,Control_DateTime,CreationDate,ModifiedDate,DistrictCode,UnitCode,DistFireNumber
13767,107593,STAT,2017,SOA,Western Lane,Veneta,17-781013-18,Honeyman,A,0.1,0.1,Human,Recreationist,Recreation,Warming Fire Not Extinguished,,43.92139,-124.105,POINT (-124.105 43.92139),State,19S,12W,14.0,NESE,Lily Lake,Lane,SL2,Reg Use Closure,Lvl 1 Fire Season Only,07/24/2017 08:00:00 AM,07/24/2017 09:06:00 AM,07/24/2017 09:00:00 AM,07/24/2017 11:45:00 AM,07/24/2017 12:00:00 AM,07/25/2017 12:52:00 PM,78,781,013
13769,122429,STAT,2020,SOA,South Cascade,Sweet Home,20-772090-21,Scott Mountain #5,A,0.0,0.0,Human,Motorist,Arson,Other - Arson Related,,44.36681,-122.81886,POINT (-122.81886 44.36681),Industrial,14S,1W,4.0,SWNW,9 Mi SW Sweet Home,Linn,LN1,Reg Use Closure,Lvl 4 Complete Shutdown,09/15/2020 05:00:00 PM,09/15/2020 05:51:00 PM,09/15/2020 05:45:00 PM,09/15/2020 05:51:00 PM,09/16/2020 12:00:00 AM,09/23/2020 09:44:00 AM,77,772,090
13770,109201,STAT,2017,SOA,Coos - CFPA,Coos Bay,17-721089-18,North Slough,A,0.1,0.1,Lightning,Lightning,Lightning,Lightning,,43.47361,-124.21833,POINT (-124.21833 43.47361),Industrial,24S,13W,23.0,NWSW,,Coos,CS1,Reg Use Closure,Lvl 4 Complete Shutdown,09/06/2017 07:00:00 PM,09/06/2017 09:06:00 PM,09/06/2017 09:06:00 PM,09/07/2017 01:24:00 PM,09/07/2017 12:00:00 AM,09/15/2017 01:32:00 PM,72,721,089
13771,108110,STAT,2017,SOA,South Cascade,Sweet Home,17-772051-18,N. RVR 391,A,0.01,0.01,Human,Other-Public,Miscellaneous,Other - Miscellaneous Related,FIREWORKS SUSPECTED BUT COULDN'T BE CONFIRMED,44.41234,-122.72115,POINT (-122.72115 44.41234),Other Private,13S,1E,29.0,SWNW,2.42 MI W OF SH,Linn,LN1,Reg Use Closure,Lvl 3 Restricted Shutdown,08/05/2017 06:10:00 PM,08/05/2017 06:16:00 PM,08/05/2017 06:14:00 PM,08/05/2017 06:23:00 PM,08/05/2017 12:00:00 AM,08/14/2017 12:45:00 PM,77,772,051
13772,112324,STAT,2018,EOA,Northeast Oregon,Baker,18-972008-19,Summit Creek,A,0.1,0.1,Lightning,Lightning,Lightning,Lightning,Two strike trees,44.89194,-117.20278,POINT (-117.20278 44.89194),Small Woodlands,8S,45E,3.0,SWSW,,Baker,NE3,Reg Use Closure,Does Not Apply - Eastern OR,08/20/2018 07:00:00 AM,08/20/2018 08:00:00 AM,08/20/2018 08:00:00 AM,08/26/2018 04:00:00 PM,08/20/2018 12:00:00 AM,09/23/2018 08:31:00 AM,97,972,008
13775,114525,STAT,2019,SOA,Coos - CFPA,Coos Bay,19-721180-19,Lake Creek,A,0.01,0.01,Human,Timber Harvest Worker,Equipment Use,Industrial- Other - Logging Equipment Use,Rock truck rollover,43.51889,-123.825,POINT (-123.825 43.51889),Industrial,23S,10W,36.0,NWSE,15 SW Elkton,Douglas,CS2,Reg Use Closure,Lvl 1 Fire Season Only,06/28/2019 09:30:00 AM,06/28/2019 09:30:00 AM,06/28/2019 09:30:00 AM,06/28/2019 10:40:00 AM,06/28/2019 12:00:00 AM,07/09/2019 11:40:00 AM,72,721,180
13776,125312,STAT,2021,SOA,Southwest Oregon,Grants Pass,21-712201-22,Tunnel Loop 5222,B,0.33,0.33,Human,Ruralist-Paying,Recreation,Other - Recreationist Related,"charcoal bbq that ignited the wood and grass, spread to home",42.5724,-123.42898,POINT (-123.42898 42.5724),Rural Residential,34S,6W,32.0,SENE,10.54 miles Northwest of Grant,Josephine,SW3,Reg Use Closure,Lvl 2 Limited Shutdown,07/23/2021 04:10:00 PM,07/23/2021 04:11:00 PM,07/23/2021 04:10:00 PM,07/26/2021 12:17:00 PM,07/23/2021 12:00:00 AM,08/12/2021 05:07:00 PM,71,712,201
13781,123788,STAT,2021,NOA,Tillamook,Tillamook,21-511078-21,39305 HIGHWAY 53,A,0.2,0.2,Human,Ruralist-Paying,Debris Burning,Failure to Follow Permit Instruction,DEBRIS PILE SPREAD TO ADJACENT FUELS UPHILL,45.7395,-123.84806,POINT (-123.84806 45.7395),Other Private,3N,10W,13.0,SESE,HIGHWAY 53,Tillamook,NW1,Outside Closed Fire Season,Outside Closed Fire Season,05/14/2021 09:00:00 AM,05/14/2021 05:35:00 PM,05/14/2021 05:30:00 PM,05/14/2021 08:36:00 PM,05/14/2021 12:00:00 AM,05/26/2021 12:14:00 PM,51,511,078
13782,116650,STAT,2019,SOA,Douglas - DFPA,DFPA Central,19-733250-20,Glide Transfer,A,0.1,0.1,Lightning,Lightning,Lightning,Lightning,,43.28595,-123.1658,POINT (-123.1658 43.28595),Other Private,26S,4W,27.0,NWNW,3.78 miles West of Glide,Douglas,DG1,Reg Use Closure,Lvl 2 Limited Shutdown,09/05/2019 10:06:00 PM,09/06/2019 04:23:00 PM,09/06/2019 04:23:00 PM,09/07/2019 06:00:00 PM,09/07/2019 12:00:00 AM,09/24/2019 02:51:00 PM,73,733,250
13783,119881,STAT,2020,SOA,Douglas - DFPA,DFPA North,20-731118-21,Hinkle Creek,B,0.3,0.3,Human,Hunter,Smoking,Other - Smoker Related,,43.42867,-123.07025,POINT (-123.07025 43.42867),Industrial,25S,3W,5.0,NESW,,Douglas,DG1,Reg Use Closure,Lvl 3 Restricted Shutdown,08/04/2020 06:00:00 PM,08/04/2020 06:20:00 PM,08/04/2020 06:04:00 PM,08/04/2020 08:12:00 PM,08/05/2020 12:00:00 AM,08/20/2020 03:45:00 PM,73,731,118
13787,113046,STAT,2018,EOA,Central Oregon,The Dalles,18-954039-19,Glass Drive,A,0.01,0.0,Human,Rancher-Farmer,Miscellaneous,Spontaneous Combustion,Hay on truck caught fire and fell off causing small fire,45.64083,-121.51444,POINT (-121.51444 45.64083),State,2N,10E,24.0,NESW,4.5 Miles South of Hood River,Hood River,MH1,Reg Use Closure,Lvl 1 Fire Season Only,09/18/2018 01:50:00 PM,09/18/2018 01:53:00 PM,09/18/2018 01:53:00 PM,09/18/2018 03:00:00 PM,09/18/2018 12:00:00 AM,09/30/2018 10:59:00 AM,95,954,039
13789,110135,STAT,2018,SOA,Coos - CFPA,Bridge,18-722131-18,Frona Park,A,0.01,0.01,Human,Recreationist,Recreation,Warming Fire Unattended,Fire was found burning in a hollow tree,43.16222,-123.97833,POINT (-123.97833 43.16222),BLM,28S,11W,11.0,SENW,10 NE Myrtle Point,Coos,CS2,Outside Closed Fire Season,Outside Closed Fire Season,05/27/2018 07:30:00 PM,05/27/2018 07:50:00 PM,05/27/2018 07:45:00 PM,05/27/2018 08:30:00 PM,05/29/2018 12:00:00 AM,01/17/2019 12:11:00 PM,72,722,131
13793,113859,STAT,2019,SOA,Coos - CFPA,Coos Bay,19-721140-19,Coos Sumner Rd,B,0.5,0.5,Human,Other-Public,Debris Burning,Other - Burning Related,Piles lit on fire by unknown person or persons,43.29389,-124.17472,POINT (-124.17472 43.29389),Small Woodlands,26S,12W,30.0,NENW,6 SE Coos Bay,Coos,CS1,Outside Closed Fire Season,Outside Closed Fire Season,04/25/2019 10:00:00 AM,04/25/2019 04:10:00 PM,04/25/2019 12:00:00 PM,04/26/2019 12:00:00 PM,04/30/2019 12:00:00 AM,05/14/2019 02:05:00 PM,72,721,140
13794,117357,STAT,2020,SOA,Western Lane,Veneta,20-781063-20,81185 N. Jackson,B,1.38,1.38,Human,Other-Landowner Related,Debris Burning,Inadequate Mop Up,Origin debris pile was lit a week prior to the fires escape.,43.86783,-123.05635,POINT (-123.05635 43.86783),Other Private,19S,3W,33.0,SESW,3.86 Miles Sw of Creswell,Lane,WT1,Outside Closed Fire Season,Outside Closed Fire Season,04/16/2020 05:15:00 PM,04/16/2020 05:15:00 PM,04/16/2020 05:15:00 PM,04/16/2020 08:00:00 PM,04/16/2020 12:00:00 AM,04/28/2020 02:35:00 PM,78,781,063
13797,106591,STAT,2017,SOA,Western Lane,Veneta,17-781082-17,Pine Grove Church,A,0.1,0.1,Human,Other-Public,Debris Burning,Other - Burning Related,"Spread from debris burn, extinguished by resident",44.00194,-123.23639,POINT (-123.23639 44.00194),Rural Residential,18S,5W,13.0,NESW,5 miles SE of Veneta,Lane,WT1,Outside Closed Fire Season,Outside Closed Fire Season,06/02/2017 11:50:00 AM,06/02/2017 11:57:00 AM,06/02/2017 11:50:00 AM,06/02/2017 12:10:00 PM,06/08/2017 12:00:00 AM,06/27/2017 01:26:00 PM,78,781,082
13798,126569,STAT,2021,SOA,Southwest Oregon,Medford,21-711147-22,Spencer Gulch,A,0.01,0.01,Lightning,Lightning,Lightning,Lightning,Applegate Complex,42.21263,-123.03637,POINT (-123.03637 42.21263),BLM,39S,3W,3.0,NENE,7.82 miles Southwest of Jackso,Jackson,SW1,Reg Use Closure,Lvl 3 Restricted Shutdown,07/29/2021 04:40:00 PM,07/29/2021 08:05:00 PM,07/29/2021 08:04:00 PM,08/01/2021 12:44:00 PM,07/30/2021 12:00:00 AM,08/01/2021 02:46:00 PM,71,711,147
13801,113891,STAT,2019,NOA,North Cascade,Santiam,19-582075-19,Crooked Ag,A,0.1,0.1,Human,Other Forest Mgt. Worker,Debris Burning,Industrial- Slash-Failure to Recog. Sev. of Burning Cond.,Permitted agriculture burn that escaped.,44.94442,-122.56086,POINT (-122.56086 44.94442),Industrial,7S,2E,21.0,NWSW,7 Mi SE of Scotts Mills,Marion,CM1,Outside Closed Fire Season,Outside Closed Fire Season,05/02/2019 03:00:00 PM,05/02/2019 03:10:00 PM,05/02/2019 03:10:00 PM,05/02/2019 05:00:00 PM,05/03/2019 12:00:00 AM,06/05/2019 01:32:00 PM,58,582,075
13803,113866,STAT,2019,SOA,South Cascade,Eastern Lane,19-771147-19,McKenzie MP 29,A,0.02,0.02,Human,Rancher-Farmer,Debris Burning,Agricultural,Burning pile of orchard prunings fire spotted into brush,44.13163,-122.52638,POINT (-122.52638 44.13163),Agriculture,16S,2E,35.0,NESE,46826 McKenzie Hwy,Lane,EL1,Outside Closed Fire Season,Outside Closed Fire Season,05/01/2019 03:12:00 PM,05/01/2019 03:20:00 PM,05/01/2019 03:15:00 PM,05/01/2019 04:45:00 PM,05/01/2019 12:00:00 AM,05/07/2019 11:25:00 AM,77,771,147
13805,116625,STAT,2019,SOA,Southwest Oregon,Grants Pass,19-712576-20,Deer Creek 6000,A,0.01,0.01,Human,Ruralist-Paying,Equipment Use,Carbon Sparks from Vehicle,Carbon sparks from a vehicle,42.27117,-123.5025,POINT (-123.5025 42.27117),County,38S,7W,14.0,NWNW,10.57 miles NE of CJ,Josephine,SW3,Reg Use Closure,Lvl 2 Limited Shutdown,09/05/2019 05:54:00 PM,09/05/2019 05:55:00 PM,09/05/2019 05:55:00 PM,09/08/2019 11:18:00 AM,09/07/2019 12:00:00 AM,09/08/2019 04:20:00 PM,71,712,576
13806,120066,STAT,2020,EOA,Northeast Oregon,Baker,20-972012-21,Dry Gulch,D,297.0,0.0,Human,Ruralist-Non-Paying,Debris Burning,Other - Burning Related,,44.8294,-117.2176,POINT (-117.2176 44.8294),Other Private,8S,45E,33.0,NENW,,Baker,NE3,Reg Use Closure,Does Not Apply - Eastern OR,08/10/2020 11:00:00 AM,08/10/2020 11:30:00 AM,08/10/2020 11:15:00 AM,08/14/2020 12:37:00 PM,08/10/2020 12:00:00 AM,08/12/2020 04:16:00 PM,97,972,012
13810,106436,STAT,2017,EOA,Central Oregon,The Dalles,17-954033-17,State Road,A,0.1,0.1,Human,Ruralist-Paying,Debris Burning,Inadequate Mop Up,New material on pile not mopped-up.,45.68042,-121.38608,POINT (-121.38608 45.68042),Rural Residential,2N,11E,1.0,SWSE,.5 Miles East of Mosier,Wasco,MH1,Outside Closed Fire Season,Does Not Apply - Eastern OR,04/30/2017 12:30:00 PM,04/30/2017 12:40:00 PM,04/30/2017 12:40:00 PM,04/30/2017 02:00:00 PM,04/30/2017 12:00:00 AM,06/15/2017 03:44:00 PM,95,954,033
13811,117385,STAT,2020,SOA,Southwest Oregon,Medford,20-711383-20,Skookum Ln 739,A,0.25,0.25,Human,Ruralist-Paying,Debris Burning,Unattended,rekindle burn pile from the day prior spread to dry grass,42.72092,-122.54058,POINT (-122.54058 42.72092),Rural Residential,33S,2E,11.0,NENE,12.33 miles North of Butte Fal,Jackson,SW2,Outside Closed Fire Season,Outside Closed Fire Season,04/26/2020 05:00:00 PM,04/26/2020 05:07:00 PM,04/26/2020 05:05:00 PM,04/26/2020 06:50:00 PM,04/27/2020 12:00:00 AM,05/18/2020 09:34:00 AM,71,711,383
13814,116393,STAT,2019,EOA,Central Oregon,Sisters,19-955073-20,Hodge 0855,A,0.01,0.01,Lightning,Lightning,Lightning,Lightning,Lightning Struck pine,44.06833,-121.4675,POINT (-121.4675 44.06833),Industrial,17S,10E,25.0,SESE,S CP-4,Deschutes,WC2,Reg Use Closure,Lvl 2 Limited Shutdown,08/29/2019 08:00:00 PM,08/30/2019 03:29:00 PM,08/30/2019 03:25:00 PM,08/30/2019 06:15:00 PM,08/31/2019 12:00:00 AM,09/02/2019 11:56:00 AM,95,955,073
13817,108151,STAT,2017,EOA,Central Oregon,Sisters,17-955033-18,Meadow Fire 745,A,0.01,0.01,Human,Other-Public,Juveniles,Other (Juveniles ages 13 to 17),"Specific cause unknown, Juveniles seen leaving the area",44.36806,-121.66611,POINT (-121.66611 44.36806),Rural Residential,14S,9E,9.0,SENE,Black Butte Ranch,Deschutes,DE1,Reg Use Closure,Does Not Apply - Eastern OR,08/04/2017 06:00:00 PM,08/04/2017 06:07:00 PM,08/04/2017 06:05:00 PM,08/04/2017 06:39:00 PM,08/06/2017 12:00:00 AM,08/24/2017 09:48:00 AM,95,955,033
13818,116686,STAT,2019,SOA,Coos - CFPA,Coos Bay,19-721086-20,Little Mill Creek,A,0.2,0.2,Lightning,Lightning,Lightning,Lightning,,43.6698,-123.85408,POINT (-123.85408 43.6698),BLM,22S,10W,11.0,NWSE,12 E Reedsport,Douglas,CS2,Reg Use Closure,Lvl 2 Limited Shutdown,09/05/2019 11:00:00 PM,09/06/2019 12:00:00 PM,09/06/2019 12:00:00 PM,09/06/2019 03:00:00 PM,09/07/2019 12:00:00 AM,09/21/2019 11:53:00 AM,72,721,086
13821,111447,STAT,2018,SOA,Southwest Oregon,Grants Pass,18-712176-19,PP-86/Pinecrest Dr,A,0.01,0.01,Lightning,Lightning,Lightning,Lightning,Fire was a result of Lightning,42.46148,-123.37333,POINT (-123.37333 42.46148),BLM,36S,6W,11.0,NWNE,2.77 miles NW of GP,Josephine,SW3,Reg Use Closure,Lvl 2 Limited Shutdown,07/15/2018 09:00:00 AM,07/15/2018 10:10:00 AM,07/15/2018 10:02:00 AM,07/22/2018 11:17:00 AM,07/23/2018 12:00:00 AM,08/15/2018 11:54:00 AM,71,712,176
13823,109382,STAT,2017,EOA,Central Oregon,John Day,17-952071-18,OR-MAF-17283,B,1.7,0.1,Lightning,Lightning,Lightning,Lightning,lightning struck snag,44.73446,-118.86906,POINT (-118.86906 44.73446),Other Private,9S,32E,32.0,NESE,11.1 Miles NE of Long Creek,Grant,MA1,Reg Use Closure,Does Not Apply - Eastern OR,09/11/2017 08:00:00 PM,09/12/2017 01:44:00 PM,09/12/2017 01:40:00 PM,09/13/2017 01:53:00 PM,09/12/2017 12:00:00 AM,10/07/2017 11:22:00 AM,95,952,071
13824,128593,STAT,2020,NOA,North Cascade,Molalla,20-581039-21,Powerline Smoke,A,,0.01,Human,Public Utility,Miscellaneous,Other - Miscellaneous Related,Down Powerline,45.08361,-122.48696,POINT (-122.48696 45.08361),Rural Residential,6S,3E,6.0,NWNE,6.2 mi SE of Molalla,Clackamas,,,,,09/07/2020 05:45:00 PM,,,05/05/2022 12:00:00 AM,05/05/2022 09:46:00 AM,58,581,039
13825,110918,STAT,2018,SOA,Western Lane,Veneta,18-781006-19,Briggs Hill Tractor,A,0.01,0.01,Human,Ruralist-Non-Paying,Equipment Use,Burning Vehicle or Equipment,Tractor caught fire and spread to grass,43.98,-123.23389,POINT (-123.23389 43.98),Rural Residential,18S,5W,25.0,NENE,Spencer Creek,Lane,WT1,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,07/08/2018 04:20:00 PM,07/08/2018 04:21:00 PM,07/08/2018 04:20:00 PM,07/08/2018 05:00:00 PM,07/08/2018 12:00:00 AM,07/08/2018 06:50:00 PM,78,781,006
13827,107825,STAT,2017,SOA,Southwest Oregon,Medford,17-711093-18,Craiglea 370,A,0.01,0.01,Human,Ruralist-Paying,Smoking,Discarded Cigarette/Tobacco,Discarded Cigarette,42.38745,-122.7587,POINT (-122.7587 42.38745),Rural Residential,37S,1W,1.0,NENE,6.3 miles South of Eagle Point,Jackson,SW1,Reg Use Closure,Lvl 2 Limited Shutdown,07/28/2017 06:00:00 PM,07/28/2017 06:05:00 PM,07/28/2017 06:04:00 PM,07/31/2017 02:00:00 PM,10/04/2017 12:00:00 AM,10/04/2017 03:30:00 PM,71,711,093
13828,123479,STAT,2021,SOA,Southwest Oregon,Grants Pass,21-712946-21,Falling Leaf,A,0.25,0.25,Human,Ruralist-Paying,Debris Burning,Burning During Poor Condition,Small leafy burn pile spread,42.29144,-123.61805,POINT (-123.61805 42.29144),Other Private,38S,8W,2.0,NWSW,360 Falling Leaf Dr,Josephine,SW3,Outside Closed Fire Season,Outside Closed Fire Season,04/21/2021 03:30:00 PM,04/21/2021 03:32:00 PM,04/21/2021 03:31:00 PM,04/29/2021 12:00:00 PM,04/22/2021 12:00:00 AM,04/26/2021 11:36:00 AM,71,712,946
13831,123189,STAT,2020,EOA,Central Oregon,Sisters,20-955081-21,Penny Ct 1026,B,0.5,0.5,Human,Ruralist-Paying,Debris Burning,Unattended,"broadcast burning W/O permit, left  unattended.",43.70944,-121.44194,POINT (-121.44194 43.70944),Rural Residential,21S,11E,32.0,NWSW,4 miles Northeast of La Pine,Deschutes,WC2,Outside Closed Fire Season,Does Not Apply - Eastern OR,11/03/2020 05:00:00 PM,11/03/2020 05:30:00 PM,11/03/2020 05:25:00 PM,11/04/2020 10:00:00 AM,11/04/2020 12:00:00 AM,11/04/2020 01:51:00 PM,95,955,081
13832,123726,STAT,2021,SOA,Douglas - DFPA,DFPA Central,21-733468-21,Grouse Butte #2,A,0.25,0.25,Human,Rancher-Farmer,Debris Burning,Inadequate Resources to Control,Fire that got out of control,43.1575,-123.26806,POINT (-123.26806 43.1575),Rural Residential,28S,5W,3.0,SESE,,Douglas,DG2,Outside Closed Fire Season,Outside Closed Fire Season,05/17/2021 11:18:00 AM,05/17/2021 11:22:00 AM,05/17/2021 11:19:00 AM,05/17/2021 12:10:00 PM,05/20/2021 12:00:00 AM,06/10/2021 02:32:00 PM,73,733,468
13835,118687,STAT,2020,NOA,Astoria,Astoria,20-521015-21,Thousand Gallons,A,0.01,0.0,Human,Other-Landowner Related,Debris Burning,Inadequate Mop Up,buried burn pile rekindled,46.03371,-123.91006,POINT (-123.91006 46.03371),Other Private,6N,10W,3.0,SWNE,0.65 miles North of Gearhart,Clatsop,NW1,Reg Use Closure,Lvl 1 Fire Season Only,06/30/2020 08:00:00 AM,07/27/2020 07:00:00 PM,07/27/2020 06:55:00 PM,07/27/2020 09:00:00 PM,07/29/2020 12:00:00 AM,07/29/2020 01:17:00 PM,52,521,015
13838,127673,STAT,2021,NOA,North Cascade,Molalla,21-581032-22,Ridge Brush,B,3.75,3.75,Human,Ruralist-Paying,Debris Burning,Burning During Poor Condition,Burn Pile escaped,45.25839,-122.37044,POINT (-122.37044 45.25839),Rural Residential,4S,3E,4.0,NWNW,2 mi e of beavercreek,Clackamas,CM1,Reg Use Closure,Lvl 2 Limited Shutdown,09/02/2021 01:30:00 PM,09/02/2021 01:33:00 PM,09/02/2021 01:32:00 PM,09/02/2021 05:00:00 PM,09/02/2021 12:00:00 AM,10/12/2021 11:13:00 AM,58,581,032
13841,123337,STAT,2021,SOA,Southwest Oregon,Grants Pass,21-712928-21,Ferris Gulch,A,0.01,0.01,Human,Recreationist,Recreation,Other - Recreationist Related,"Cederwall lit fire to signal for help, truck stuck",42.22787,-123.2456,POINT (-123.2456 42.22787),Industrial,38S,5W,36.0,NWNW,"Bamboo Gulch, Baltimore Ditch",Josephine,SW3,Outside Closed Fire Season,Outside Closed Fire Season,04/09/2021 07:15:00 PM,04/09/2021 08:04:00 PM,04/09/2021 08:04:00 PM,04/13/2021 03:04:00 PM,04/12/2021 12:00:00 AM,04/26/2021 12:17:00 PM,71,712,928
13843,107357,STAT,2017,SOA,Douglas - DFPA,DFPA North,17-731017-18,South Elk Cr. Road,A,0.01,0.01,Human,Rancher-Farmer,Debris Burning,Inadequate Mop Up,,43.65889,-123.34167,POINT (-123.34167 43.65889),Rural Residential,22S,5W,18.0,SENW,Yoncalla,Douglas,DE1,Reg Use Closure,Lvl 2 Limited Shutdown,06/19/2017 10:00:00 AM,07/13/2017 11:16:00 PM,07/13/2017 11:08:00 PM,07/14/2017 02:30:00 AM,07/14/2017 12:00:00 AM,07/15/2017 04:29:00 PM,73,731,017
13845,115126,STAT,2019,SOA,Western Lane,Veneta,19-781009-20,HROSEBURG,A,0.01,0.01,Human,Timber Harvest Worker,Equipment Use,Industrial- Rigging - Sparks or Friction,cable in machine backward caused spark,43.80806,-123.91361,POINT (-123.91361 43.80806),Industrial,20S,10W,28.0,NWNW,11.83 Miles SE of Dunes City,Douglas,WT1,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,07/19/2019 10:00:00 AM,07/19/2019 10:35:00 AM,07/19/2019 10:00:00 AM,07/19/2019 10:35:00 AM,07/23/2019 12:00:00 AM,07/23/2019 12:27:00 PM,78,781,009
13846,108996,STAT,2017,EOA,Walker Range - WRFPA,Crescent,17-991219-18,Bell A,B,,0.67,Human,,Arson,,,43.53556,-121.62667,POINT (-121.62667 43.53556),Industrial,24S,9E,4.0,NENE,North Gilchrist,Klamath,WC2,,,,08/29/2017 02:40:00 PM,,,08/31/2017 12:00:00 AM,08/31/2017 02:28:00 PM,99,991,219
13849,116457,STAT,2019,SOA,Southwest Oregon,Medford,19-711253-20,Meridian 784 PP#01436001,A,0.25,0.25,Human,Public Utility,Equipment Use,"Powerlines - Power pole malfunction (transformer, fuse, etc.",Power line break PP#0143600,42.43292,-122.75742,POINT (-122.75742 42.43292),Agriculture,36S,1E,18.0,SWSW,3.59 miles Southeast of Eagle,Jackson,SW1,Reg Use Closure,Lvl 2 Limited Shutdown,09/02/2019 05:55:00 PM,09/02/2019 05:55:00 PM,09/02/2019 05:55:00 PM,09/02/2019 06:56:00 PM,09/02/2019 12:00:00 AM,11/05/2019 08:44:00 AM,71,711,253
13850,122016,STAT,2020,SOA,Southwest Oregon,Grants Pass,20-712438-21,N River Road,B,2.57,2.57,Human,Motorist,Equipment Use,Burning Vehicle or Equipment,Vehicle Fire spread to Wildland,42.41097,-123.14667,POINT (-123.14667 42.41097),State,36S,4W,26.0,NWSW,2.16 mi SE of Rogue River,Jackson,SW3,Absolute Closure,Lvl 3 Restricted Shutdown,09/07/2020 12:43:00 PM,09/07/2020 12:44:00 PM,09/07/2020 12:44:00 PM,09/12/2020 12:19:00 PM,09/07/2020 12:00:00 AM,09/15/2020 12:49:00 PM,71,712,438
13851,122204,STAT,2020,EOA,Central Oregon,John Day,20-952090-21,Waterman,A,0.25,0.25,Human,Motorist,Under Invest,,,44.52972,-120.00111,POINT (-120.00111 44.52972),Other Private,12S,23E,18.0,SENE,7.9 miles East of Mitchell,Wheeler,WC1,Reg Use Closure,Does Not Apply - Eastern OR,09/09/2020 08:00:00 PM,09/09/2020 08:15:00 PM,09/09/2020 08:10:00 PM,09/09/2020 10:30:00 PM,09/09/2020 12:00:00 AM,10/06/2020 05:52:00 PM,95,952,090
13853,115211,STAT,2019,SOA,Western Lane,Veneta,19-781018-20,North Jetty,A,0.01,0.01,Human,Recreationist,Recreation,"Campfire Left Unattended (camp site, cooking)",,44.01917,-124.13944,POINT (-124.13944 44.01917),State,18S,12W,9.0,NWSW,3.21 Miles NW Florence,Lane,SL2,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,07/24/2019 08:00:00 PM,07/24/2019 08:45:00 PM,07/24/2019 08:45:00 PM,07/24/2019 08:54:00 PM,07/26/2019 12:00:00 AM,08/18/2019 04:49:00 PM,78,781,018
13854,122373,STAT,2020,SOA,South Cascade,Sweet Home,20-772083-21,Whiskey Butte #3,A,0.1,0.1,Human,Other-Public,Arson,Other - Arson Related,Under Investigation,44.36755,-122.59138,POINT (-122.59138 44.36755),Other Private,14S,2E,8.0,SWNE,4.98 miles SE of SH,Linn,LN1,Reg Use Closure,Lvl 4 Complete Shutdown,09/14/2020 04:45:00 AM,09/14/2020 04:56:00 AM,09/14/2020 04:47:00 AM,09/14/2020 05:30:00 AM,09/14/2020 12:00:00 AM,09/20/2020 11:16:00 AM,77,772,083
13857,115332,STAT,2019,SOA,Southwest Oregon,Grants Pass,19-712234-20,Mesa Verde Dr 555,A,0.01,0.01,Human,Other-Landowner Related,Debris Burning,Other - Burning Related,Rekindle of a burn pile that was active in May,42.12232,-123.6521,POINT (-123.6521 42.12232),Rural Residential,40S,8W,4.0,NENW,2.81 miles S of CJ,Josephine,SW3,Reg Use Closure,Lvl 2 Limited Shutdown,07/30/2019 07:45:00 PM,07/30/2019 07:53:00 PM,07/30/2019 07:50:00 PM,08/02/2019 12:18:00 PM,07/31/2019 12:00:00 AM,08/10/2019 11:47:00 AM,71,712,234
13858,107196,STAT,2017,EOA,Klamath-Lake,Lakeview,17-982004-18,Ana 238,G,5874.0,175.0,Human,Other-Landowner Related,Recreation,Firearms - Target,Exploding target,43.01306,-120.77111,POINT (-120.77111 43.01306),Rural Residential,30S,16E,11.0,NWNE,Winter Rim,Lake,KF2,Reg Use Closure,Does Not Apply - Eastern OR,07/08/2017 03:48:00 PM,07/08/2017 03:56:00 PM,07/08/2017 03:50:00 PM,07/15/2017 06:00:00 AM,07/08/2017 12:00:00 AM,02/09/2018 02:38:00 PM,98,982,004
13859,114649,STAT,2019,NOA,Astoria,Astoria,19-521001-20,George Hill Fire,A,0.01,0.0,Human,Ruralist-Non-Paying,Debris Burning,Unattended,"Debris burn, no one near upon arrival",46.1492,-123.65732,POINT (-123.65732 46.1492),Rural Residential,8N,8W,27.0,SWNE,8.76 miles East of Astoria,Clatsop,NW1,Reg Use Closure,Lvl 1 Fire Season Only,07/02/2019 01:00:00 PM,07/02/2019 03:30:00 PM,07/02/2019 03:30:00 PM,07/02/2019 04:30:00 PM,07/04/2019 12:00:00 AM,07/08/2019 01:06:00 PM,52,521,001
